image,name,role,king,current-status,hasJob,wikipedia,resigned,context
assets/israel-katz.png,ישראל כץ,שר האנרגיה והתשתיות,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%9B%22%D7%A5_(%D7%94%D7%9C%D7%99%D7%9B%D7%95%D7%93)),,
assets/itamar-ben-gvir.png,איתמר בן גביר,השר לביטחון לאומי,true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%AA%D7%9E%D7%A8_%D7%91%D7%9F_%D7%92%D7%91%D7%99%D7%A8),,
assets/izak-goldknof.png,יצחק יששכר גולדקנופף,שר הבינוי והשיכון,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%92%D7%95%D7%9C%D7%93%D7%A7%D7%A0%D7%95%D7%A4%D7%A3,,
assets/izak-shimon-vaserlof.png,יצחק שמעון וסרלאוף,"שר הנגב, הגליל והחוסן הלאומי",true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%95%D7%A1%D7%A8%D7%9C%D7%90%D7%95%D7%A3,,
assets/izhak-kroizer.png,יצחק (איציק) קרויזר,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%A7%D7%A8%D7%95%D7%99%D7%96%D7%A8,,
assets/izhak-zehev-pindrus.png,יצחק זאב פִּינְדְרוּס,יושב ראש הוועדה המיוחדת לפניות הציבור,,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%A4%D7%99%D7%A0%D7%93%D7%A8%D7%95%D7%A1,,
assets/ketty-katrin-shitrit.png,קטרין (קטי) פרץ-שטרית,,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%98%D7%99_%D7%A9%D7%98%D7%A8%D7%99%D7%AA,,
assets/limor-son-har-melech.png,לימור סוֹן הר-מלך,יושב ראש הוועדה המיוחדת לעניין הקרן לאזרחי ישראל,,,true,https://he.wikipedia.org/wiki/%D7%9C%D7%99%D7%9E%D7%95%D7%A8_%D7%A1%D7%95%D7%9F_%D7%94%D7%A8-%D7%9E%D7%9C%D7%9A,,
assets/machluf-miki-zohar.png,מכלוף (מיקי) זוהר," שר התרבות והספורט",true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%99%D7%A7%D7%99_%D7%96%D7%95%D7%94%D7%A8,,
assets/mai-golan.png,פלורה מאי בדרה-גולן,השרה לקידום מעמד האישה,true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%90%D7%99_%D7%92%D7%95%D7%9C%D7%9F,,
assets/meir-porush.png,מֵאִיר פֹּרוּשׁ,שר ירושלים ומסורת ישראל,true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%90%D7%99%D7%A8_%D7%A4%D7%A8%D7%95%D7%A9,,
assets/michael-malkieli.png,מיכאל משה מלכיאלי," השר לשירותי דת",true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%99%D7%9B%D7%90%D7%9C_%D7%9E%D7%9C%D7%9B%D7%99%D7%90%D7%9C%D7%99,,
assets/michal-miriam-voldinger.png,מיכל מרים ווֹלדיגר,סגנית שר האוצר,true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%99%D7%9B%D7%9C_%D7%95%D7%95%D7%9C%D7%93%D7%99%D7%92%D7%A8,,
assets/miri-miriam-regev.png,מירי (מרים) רגב,שרת התחבורה והבטיחות בדרכים,true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%99%D7%A8%D7%99_%D7%A8%D7%92%D7%91,,
assets/moshe-abutbul.png,משה אבוטבול,סגן שר החקלאות,true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%90%D7%91%D7%95%D7%98%D7%91%D7%95%D7%9C,,
assets/moshe-arbel.png,משה ארבל,שר הפנים ושר הבריאות,true,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%90%D7%A8%D7%91%D7%9C,,
assets/moshe-gafni.png,משה רפאל גפני,יושב ראש ועדת הכספים,,,true,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%92%D7%A4%D7%A0%D7%99,,
assets/moshe-pesel.png,משה (מושיקו) פסל,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%A4%D7%A1%D7%9C,,
assets/moshe-rot.png,משה שמעון רוט,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%A8%D7%95%D7%98,,
assets/moshe-saada.png,משה סעדה,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%A1%D7%A2%D7%93%D7%94,,
assets/moshe-solomon.png,משה סולומון,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%A1%D7%95%D7%9C%D7%95%D7%9E%D7%95%D7%9F,,
assets/nir-barket.png,ניר ברקת,שר הכלכלה והתעשייה,true,,true,https://he.wikipedia.org/wiki/%D7%A0%D7%99%D7%A8_%D7%91%D7%A8%D7%A7%D7%AA,,
assets/nisim-vatori.png,ניסים ואטורי,סגן יושב ראש הכנסת,true,,true,https://he.wikipedia.org/wiki/%D7%A0%D7%99%D7%A1%D7%99%D7%9D_%D7%95%D7%90%D7%98%D7%95%D7%A8%D7%99,,
